Name,Source,LinkedIn Profile,Status,LI Connection Sent,LI Connection Accepted,Loom Sent,Responded,Call Booked,Audit Call,Free or Paid,Need to Follow Up Date,Last Contact Date,Email,Company,Title,Notes,Meetings,"Action Items ",Projects
Sylvia Williams,LI Loom Outreach,https://www.linkedin.com/in/sylviawilliams,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Baker,LI Loom Outreach,https://www.linkedin.com/in/taylorbaker,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Adams,LI Loom Outreach,https://www.linkedin.com/in/tayloradams,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Dave Kurtz,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Patrick Yarcusko,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tim Jones,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Unknown (https://www.notion.so/Unknown-30271d52651c818d9b13ea00379a062e?pvs=21)
Jeffrey Pearson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Greg Wendzicki,Warm Outreach/Text,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Scott Collard,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ben Kozy,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tim Hill,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Clif Luber,Warm Outreach/Text,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Anthony Roa,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Harper Foley,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Admiral James G. Foley,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Kyle Briggs,LI Loom Outreach,,Project Started,Yes,Yes,Yes,Yes,Yes,Yes,Free,,,,,,,,,Newsletter Research/Draft Automation (https://www.notion.so/Newsletter-Research-Draft-Automation-30271d52651c817aabf8e1ab05d39d99?pvs=21)
Zach Denison,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Evan Parnell,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,Yes,,"March 3, 2026",,,,,,,,Inventory Management Automation (https://www.notion.so/Inventory-Management-Automation-30271d52651c8164889fc2b7b33326ec?pvs=21)
Troy Thompson,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Rakhee Khambhati,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Stephen Honan,LI Loom Outreach,,Proposal Sent,Yes,Yes,Yes,Yes,Yes,Yes,Paid,"February 20, 2026",,,,,,,,Gap Analysis Tool Automation (https://www.notion.so/Gap-Analysis-Tool-Automation-30271d52651c81aa98d2f53cbae7f41b?pvs=21)
Nicholas Jackson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Lacks,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jeff Hoyle,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Martin,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Graham Plaster,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Landon Bell,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bryan Schmidt,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Robert Torrealba,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
John Golden,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tom Disy,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Denis Santare,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
James Butler,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Richard Brawley,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Timothy O’Connor,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Sean Cook,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Michael Mandarino,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,"February 9, 2026",,,,,,,,
Jason Bell,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rod Loges,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Sean Curry,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,"February 9, 2026",,,,,,,,Unknown (https://www.notion.so/Unknown-30271d52651c814a87c7d12248d72a5e?pvs=21)
Alex Fritsch,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Ed Straw,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Guy Snodgrass,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Kevin Rodrigo,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Lenore Karafa,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brian Talbott,Networking/Podcast,,Project Started,Yes,Yes,No,Yes,Yes,Yes,Free,,,,,,,,,QB Transaction Automation (https://www.notion.so/QB-Transaction-Automation-30271d52651c8181baf7d31be9ecb675?pvs=21)
Dani Cee,Networking/Podcast,,Proposal Sent,Yes,Yes,No,Yes,Yes,Yes,Paid,,,,,,,,,ActiveCampaign Onboarding Automation (https://www.notion.so/ActiveCampaign-Onboarding-Automation-30271d52651c81a7a3b0e81e67426867?pvs=21)
Kirk Alexander,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Ismat Yassin,LI Content Outreach,,Project Started,Yes,Yes,No,Yes,Yes,Yes,Free,,,,,,,,,Job Search Assistant Automation (https://www.notion.so/Job-Search-Assistant-Automation-30271d52651c813fb843def82117bc4b?pvs=21)
David Kidd,LI Content Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Latham Hudson,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Rob Dyers,LI Loom Outreach,,Project Started,Yes,Yes,Yes,Yes,Yes,Yes,Paid,,,,,,,,,(3) Company Content Creation (https://www.notion.so/3-Company-Content-Creation-30271d52651c81e1ad17f23a7b82370b?pvs=21)
Greg Knutson,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Lisa Jones,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Jim Pfautz,Warm Outreach/Text,,Project Started,No,No,No,Yes,Yes,No,,,,,,,,,,
Mike Cushman/Mantel Tech,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,
Ben Galendez,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,"April 15, 2026",,,,,,,,
SKip Muller,Warm Outreach/Text,,Meeting Scheduled,No,No,No,Yes,Yes,No,,,,,,,,,,
Mike Madrid,Warm Outreach/Text,,Meeting Held,No,No,No,Yes,Yes,No,,,,,,,,,,
Frank Oguno,Warm Outreach/Text,,Meeting Held,No,No,No,Yes,Yes,No,,,,,,,,,,
Millie Wears,Warm Outreach/Text,,Responded,No,No,No,Yes,No,No,,,,,,,,,,
Alberto Rodriguez,Warm Outreach/Text,,Responded,No,No,No,Yes,No,No,,,,,,,,,,
Alex Corrigan,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Felipe Anciola,Networking/Podcast,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,Yes,Free,,,,,,,,,LI Outreach (Prosp) (https://www.notion.so/LI-Outreach-Prosp-30271d52651c81cdb720f55b5a7f0857?pvs=21)
Scott Angelo,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,"February 18, 2026",,,,,,,,
Dane Logan,Warm Outreach/Text,,Project Started,No,No,No,Yes,Yes,Yes,Paid,,,,,,,,,Real Estate Calculator Update (https://www.notion.so/Real-Estate-Calculator-Update-30271d52651c8124bd8cd43f5c98407f?pvs=21)
Sean Toolan,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Alijah Hawley,LI Content Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Paul Munch,Warm Outreach/Text,,Proposal Sent,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Ben Pittard,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Cliff Harris,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,"May 4, 2026",,,,,,,,
David Barthol,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,"April 16, 2026",,,,,,,,
Jake Dulle,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Josh Weed,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
William Ingram,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Euperio,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rick Darouse,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brian Whitten,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Dennis Volpe,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Wuensch,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Pete Canalichio,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Theo Stiller,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,No,Yes,No,No,,"February 9, 2026",,,,,,,,
Bastian Kneuse,Warm Outreach/Text,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Zac Keller,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Michael Wisecup,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Dan Gibbons,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tim Patterson,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Matthew Brown,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jo Unruh,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kevin McLenithan,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Derek Herrera,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Alan Kraft,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ivin Dysangco,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Charlton Evans,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Gary Lawson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Doug Orr,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jim Lawless,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Chris Coughlan,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Matthew Krause,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Tommy Brown,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Lester,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Lydia Ellen Bock,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Suzanne Lesko,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Eric Ruttenberg,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jude Akpunku,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Craig Husa,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Kari Homan,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Glen Sharlun,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Todd Owens,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Britt Boughey,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Keith Orlean,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Danny da Cruz,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Lindsay Kough,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rob McHenry,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Gerald Wayne Newton,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Will Clarke,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jonathan Andritsch,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,"March 12, 2026",,,,,,,,
Randal Wimmer,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Patrick Regan,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Kristen Kavanaugh,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Shane Correa,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Tim Berthold,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,Yes,Paid,,,,,,,,,Lead Generation Automation (https://www.notion.so/Lead-Generation-Automation-30271d52651c8115b5cef8e84bc4f13f?pvs=21)
JT Liddell,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Andrew Thompson,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Sean Patterson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Winston Jimenez,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Alec Emmert,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Chad White,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,"February 11, 2026",,,,,,,,
Vic Hyder,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jimmy Karam,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Trent Templer,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Sean Purdy,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Mike Teate,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Mike Steadman,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Amanda Kennedy,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Peter Gamerdinger,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Leith Daghistani,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kieran Carroll,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Anthony Kloszewski,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bart Bartelloni,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Tom Wittenschlaeger,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
TJ Kneale,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ted Branch,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nathan Rocklein,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bobby Hanvey,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Calvin Parsons,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mike Oliver,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Orin Clay,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Greg Puschnigg,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Daly,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tyler Kuhn,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Anne Gibbon,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Travis Williams,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rick CObb,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Christina Higgins,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Mark Mykityshyn,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Lauren Pierce,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Christopher Wade,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Scott McGinnis,Networking/Podcast,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Jay Border,Networking/Podcast,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
John Frederiksen,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Eric Smith,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Kyle Aquino,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Keith Kimmel,Networking/Podcast,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Ryan Lynch,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Andrew Magana,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tony Core,LI Content Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Brian Ray,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Robert Roth,LI Content Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Caitlin Hardy,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Tom Mancinelli,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Brett Crozier,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Pat Gleeson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Seamus Flatley,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Autumn Harris,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Brett Potts,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Joe Wiendl,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jon Barney,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Hans Vreeland,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Todd Hofstedt,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Noel Davis,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Hans Nowak,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brad Zell,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Paul Jones,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
John Blackford,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Cris Neish,LI Loom Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Scott Keever,LI Content Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Rocky Burns,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Dan Goodwin,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Anthony Blazevic,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Glenn McKenna,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Jesse Taylor,LI Loom Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Jean-Carlos Hernandez,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Newt McKissick,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
David Doff,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Tuomas Sandholm,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Tasha Bonutti,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Chris Patscheck,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Ike Holley,LI Content Outreach,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Jane Lee,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Marc Nichols,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Raj Sharma,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Macy Dennis,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Michael Lind,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Jon Lacy,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Daniel Nash,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Otis Hooper,LI Content Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Adam Wood,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
